"01F","NHS CHESHIRE AND MERSEYSIDE ICB - 01F","Y62","QYG","FIRST FLOOR","RUNCORN TOWN HALL","HEATH ROAD","RUNCORN","CHESHIRE","WA7 5TD","20130401","","","C","","","","","","","","0","","","","",""
"01G","NHS GREATER MANCHESTER ICB - 01G","Y62","QOP","SALFORD CIVIC CENTRE","CHORLEY ROAD","","MANCHESTER","GREATER MANCHESTER","M27 5AW","20130401","","","C","","","","","","","","0","","","","",""
"01H","NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H","Y63","QHM","4 WAVELL DRIVE","ROSEHILL INDUSTRIAL ESTATE","","CARLISLE","","CA1 2SE","20130401","","","C","","","","","","","","0","","","","",""
"01J","NHS CHESHIRE AND MERSEYSIDE ICB - 01J","Y62","QYG","NUTGROVE VILLA","WESTMORLAND ROAD","HUYTON","LIVERPOOL","","L36 6GA","20130401","","","C","","","","","","","","0","","","","",""
"01K","NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K","Y62","QE1","MOOR LANE MILLS","MOOR LANE","","LANCASTER","","LA1 1QD","20130401","","","C","","","","","","","","0","","","","",""
"01T","NHS CHESHIRE AND MERSEYSIDE ICB - 01T","Y62","QYG","3RD FLOOR","MERTON HOUSE","STANLEY ROAD","BOOTLE","","L20 3DL","20130401","","","C","","","","","","","","0","","","","",""
"01V","NHS CHESHIRE AND MERSEYSIDE ICB - 01V","Y62","QYG","5 CURZON ROAD","","","SOUTHPORT","MERSEYSIDE","PR8 6PL","20130401","","","C","","","","","","","","0","","","","",""
"01W","NHS GREATER MANCHESTER ICB - 01W","Y62","QOP","4TH FLOOR","STOPFORD HOUSE","","STOCKPORT","CHESHIRE","SK1 3XE","20130401","","","C","","","","","","","","0","","","","",""
"01X","NHS CHESHIRE AND MERSEYSIDE ICB - 01X","Y62","QYG","ST HELENS CHAMBER OF COMMERCE","SALISBURY STREET","CHALON WAY","ST. HELENS","MERSEYSIDE","WA10 1FY","20130401","","","C","","","","","","","","0","","","","",""
"01Y","NHS GREATER MANCHESTER ICB - 01Y","Y62","QOP","TAMESIDE ONE","MARKET PLACE","","ASHTON-UNDER-LYNE","GREATER MANCHESTER","OL6 6BH","20130401","","","C","","","","","","","","0","","","","",""
"02A","NHS GREATER MANCHESTER ICB - 02A","Y62","QOP","1ST FLOOR TRAFFORD TOWN HALL","TALBOT ROAD","STRETFORD","MANCHESTER","","M32 0TH","20130401","","","C","","","","","","","","0","","","","",""
"02E","NHS CHESHIRE AND MERSEYSIDE ICB - 02E","Y62","QYG","110 BIRCHWOOD BOULEVARD","BIRCHWOOD","","WARRINGTON","CHESHIRE","WA3 7QH","20130401","","","C","","","","","","","","0","","","","",""
"02G","NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G","Y62","QE1","HILLDALE","WIGAN ROAD","","ORMSKIRK","","L39 2JW","20130401","","","C","","","","","","","","0","","","","",""
"02H","NHS GREATER MANCHESTER ICB - 02H","Y62","QOP","WIGAN LIFE CENTRE","COLLEGE AVENUE","","WIGAN","","WN1 1NJ","20130401","","","C","","","","","","","","0","","","","",""
"02M","NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M","Y62","QE1","THE STADIUM","SEASIDERS WAY","","BLACKPOOL","","FY1 6JX","20130401","","","C","","","","","","","","0","","","","",""
"02P","NHS SOUTH YORKSHIRE ICB - 02P","Y63","QF7","HILLDER HOUSE","49-51 GAWBER ROAD","","BARNSLEY","","S75 2PY","20130401","","","C","","","","","","","","0","","","","",""
"02Q","NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q","Y60","QT1","RETFORD HOSPITAL","NORTH ROAD","","RETFORD","NOTTINGHAMSHIRE","DN22 7XF","20130401","","","C","","","","","","","","0","","","","",""
"02T","NHS WEST YORKSHIRE ICB - 02T","Y63","QWO","2ND FLOOR","WESTGATE HOUSE","WESTGATE","HALIFAX","WEST YORKSHIRE","HX1 1PW","20130401","","","C","","","","","","","","0","","","","",""
"02X","NHS SOUTH YORKSHIRE ICB - 02X","Y63","QF7","SOVEREIGN HOUSE","HEAVENS WALK","","DONCASTER","","DN4 5HZ","20130401","","","C","","","","","","","","0","","","","",""
"02Y","NHS HUMBER AND NORTH YORKSHIRE ICB - 02Y","Y63","QOQ","HEALTH HOUSE","GRANGE PARK LANE","WILLERBY","HULL","","HU10 6DT","20130401","","","C","","","","","","","","0","","","","",""
"03F","NHS HUMBER AND NORTH YORKSHIRE ICB - 03F","Y63","QOQ","WILBERFORCE COURT","ALFRED GELDER STREET","","HULL","","HU1 1UY","20130401","","","C","","","","","","","","0","","","","",""
"03H","NHS HUMBER AND NORTH YORKSHIRE ICB - 03H","Y63","QOQ","MUNICIPAL OFFICES","TOWN HALL SQUARE","","GRIMSBY","","DN31 1HU","20130401","","","C","","","","","","","","0","","","","",""
"03K","NHS HUMBER AND NORTH YORKSHIRE ICB - 03K","Y63","QOQ","THE HEALTH PLACE","WRAWBY ROAD","","BRIGG","","DN20 8GS","20130401","","","C","","","","","","","","0","","","","",""
"03L","NHS SOUTH YORKSHIRE ICB - 03L","Y63","QF7","OAK HOUSE","MOORHEAD WAY","BRAMLEY","ROTHERHAM","","S66 1YY","20130401","","","C","","","","","","","","0","","","","",""
"03N","NHS SOUTH YORKSHIRE ICB - 03N","Y63","QF7","722 PRINCE OF WALES ROAD","DARNALL","","SHEFFIELD","","S9 4EU","20130401","","","C","","","","","","","","0","","","","",""
"03Q","NHS HUMBER AND NORTH YORKSHIRE ICB - 03Q","Y63","QOQ","WEST OFFICES","STATION RISE","","YORK","NORTH YORKSHIRE","YO1 6GA","20130401","","","C","","","","","","","","0","","","","",""
"03R","NHS WEST YORKSHIRE ICB - 03R","Y63","QWO","WHITE ROSE HOUSE","WEST PARADE","","WAKEFIELD","","WF1 1LT","20130401","","","C","","","","","","","","0","","","","",""
"03W","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 03W","Y60","QK1","LEICESTERSHIRE COUNTY COUNCIL","ROOM 30 PEN LLOYD BUILDING","LEICESTER ROAD, GLENFIELD","LEICESTER","LEICESTERSHIRE","LE3 8TB","20130401","","","C","","","","","","","","0","","","","",""
"04C","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04C","Y60","QK1","ROOM 30 PEN LLOYD BUILDING","LEICESTER ROAD","GLENFIELD","LEICESTER","LEICESTERSHIRE","LE3 8TB","20130401","","","C","","","","","","","","0","","","","",""
"04V","NHS LEICESTER, LEICESTERSHIRE AND RUTLAND ICB - 04V","Y60","QK1","ROOM 30 PEN LLOYD BUILDING","LEICESTER ROAD","GLENFIELD","LEICESTER","LEICESTERSHIRE","LE3 8TB","20130401","","","C","","","","","","","","0","","","","",""
"04Y","NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 04Y","Y60","QNC","BLOCK D","BEECROFT COURT","BEECROFT ROAD","CANNOCK","STAFFORDSHIRE","WS11 1JP","20130401","","","C","","","","","","","","0","","","","",""
"05D","NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05D","Y60","QNC","EDWIN HOUSE","SECOND AVENUE","CENTRUM ONE HUNDRED","BURTON-ON-TRENT","STAFFORDSHIRE","DE14 2WF","20130401","","","C","","","","","","","","0","","","","",""
"05G","NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05G","Y60","QNC","MORSTON HOUSE","THE MIDWAY","","NEWCASTLE","STAFFORDSHIRE","ST5 1QG","20130401","","","C","","","","","","","","0","","","","",""
"05Q","NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05Q","Y60","QNC","MERLIN HOUSE","BITTERSCOTE","ETCHELL ROAD","TAMWORTH","STAFFORDSHIRE","B78 3HF","20130401","","","C","","","","","","","","0","","","","",""
"05V","NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05V","Y60","QNC","STAFFORDSHIRE PLACE 2","","","STAFFORD","STAFFORDSHIRE","ST16 2LP","20130401","","","C","","","","","","","","0","","","","",""
"05W","NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05W","Y60","QNC","HERBERT MINTON BUILDING","79 LONDON ROAD","","STOKE-ON-TRENT","STAFFORDSHIRE","ST4 7PZ","20130401","","","C","","","","","","","","0","","","","",""
"06H","NHS CAMBRIDGESHIRE AND PETERBOROUGH ICB - 06H","Y61","QUE","GEMINI HOUSE","1 BARTHOLEMEWS WALK","","ELY","CAMBRIDGESHIRE","CB7 4EA","20130401","","","C","","","","","","","","0","","","","",""
"06K","NHS HERTFORDSHIRE AND WEST ESSEX ICB - 06K","Y61","QM7","CHARTER HOUSE","PARKWAY","","WELWYN GARDEN CITY","HERTFORDSHIRE","AL8 6JL","20130401","","","C","","","","","","","","0","","","","",""
"06L","NHS SUFFOLK AND NORTH EAST ESSEX ICB - 06L","Y61","QJG","ENDEAVOUR HOUSE","RUSSELL ROAD","","IPSWICH","","IP1 2BX","20130401","","","C","","","","","","","","0","","","","",""
"06N","NHS HERTFORDSHIRE AND WEST ESSEX ICB - 06N","Y61","QM7","THE FORUM","MARLOWES","","HEMEL HEMPSTEAD","","HP1 1DN","20130401","","","C","","","","","","","","0","","","","",""
"06Q","NHS MID AND SOUTH ESSEX ICB - 06Q","Y61","QH8","WREN HOUSE","HEDGEROWS BUSINESS PARK","COLCHESTER ROAD","CHELMSFORD","","CM2 5PF","20130401","","","C","","","","","","","","0","","","","",""
"06T","NHS SUFFOLK AND NORTH EAST ESSEX ICB - 06T","Y61","QJG","ASPEN HOUSE","STEPHENSON ROAD","SEVERALLS BUSINESS PARK","COLCHESTER","ESSEX","CO4 9QR","20130401","","","C","","","","","","","","0","","","","",""
"07G","NHS MID AND SOUTH ESSEX ICB - 07G","Y61","QH8","CIVIC OFFICES","NEW ROAD","","GRAYS","ESSEX","RM17 6SL","20130401","","","C","","","","","","","","0","","","","",""
"07H","NHS HERTFORDSHIRE AND WEST ESSEX ICB - 07H","Y61","QM7","BUILDING 4, SPENCER CLOSE","ST MARGARET'S HOSPITAL","THE PLAIN","EPPING","","CM16 6TN","20130401","","","C","","","","","","","","0","","","","",""
"07K","NHS SUFFOLK AND NORTH EAST ESSEX ICB - 07K","Y61","QJG","WEST SUFFOLK HOUSE","WESTERN WAY","","BURY ST. EDMUNDS","SUFFOLK","IP33 3YU","20130401","","","C","","","","","","","","0","","","","",""
"09D","NHS SUSSEX ICB - 09D","Y59","QNX","HOVE TOWN HALL","NORTON ROAD","","HOVE","","BN3 4AH","20130401","","","C","","","","","","","","0","","","","",""
"10Q","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 10Q","Y59","QU9","JUBILEE HOUSE","5510 JOHN SMITH DRIVE","OXFORD BUSINESS PARK SOUTH","OXFORD","","OX4 2LH","20130401","","","C","","","","","","","","0","","","","",""
"10R","NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10R","Y59","QRL","4TH FLOOR","1 GUILDHALL SQUARE","","PORTSMOUTH","HAMPSHIRE","PO1 2GJ","20130401","","","C","","","","","","","","0","","","","",""
"11J","NHS DORSET ICB - 11J","Y58","QVV","VESPASIAN HOUSE","BRIDPORT ROAD","","DORCHESTER","DORSET","DT1 1TG","20130401","","","C","","","","","","","","0","","","","",""
"11M","NHS GLOUCESTERSHIRE ICB - 11M","Y58","QR1","SANGER HOUSE","5220 VALIANT COURT","GLOUCESTER BUSINESS PARK, BROCKWORT","GLOUCESTER","","GL3 4FE","20130401","","","C","","","","","","","","0","","","","",""
"11N","NHS CORNWALL AND THE ISLES OF SCILLY ICB - 11N","Y58","QT6","PART 2S CHY TREVAIL","BEACON TECHNOLOGY PARK","","BODMIN","CORNWALL","PL31 2FR","20130401","","","C","","","","","","","","0","","","","",""
"11X","NHS SOMERSET ICB - 11X","Y58","QSL","WYNFORD HOUSE","LUFTON WAY","LUFTON","YEOVIL","","BA22 8HR","20130401","","","C","","","","","","","","0","","","","",""
"12F","NHS CHESHIRE AND MERSEYSIDE ICB - 12F","Y62","QYG","OLD MARKET HOUSE","13 HAMILTON STREET","","BIRKENHEAD","","CH41 5AL","20130401","","","C","","","","","","","","0","","","","",""
"13Q","NATIONAL COMMISSIONING HUB 1","Y99","Q99","C/O NHS ENGLAND","1W09, IST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20130401","","","H","","","","","","","","0","","","","",""
"13R","LONDON COMMISSIONING HUB","Y56","Q99","C/O NHS COMMISIONING BOARD","QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20130401","","","H","","","","","","","","0","","","","",""
"13T","NHS NORTH EAST AND NORTH CUMBRIA ICB - 13T","Y63","QHM","RIVERSIDE HOUSE","GOLDCREST WAY","","NEWCASTLE UPON TYNE","","NE15 8NY","20141126","","","C","","","","","","","","0","","","","",""
"14A","MIDLANDS COMMISSIONING HUB","Y60","Q99","C/O NHS ENGLAND, 1W09, 1ST FLOOR","QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20150401","","","H","","","","","","","","0","","","","",""
"14E","EAST OF ENGLAND COMMISSIONING HUB","Y61","Q99","C/O NHS ENGLAND, 1W09, 1ST FLOOR","QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20150401","","","H","","","","","","","","0","","","","",""
"14F","SOUTH WEST COMMISSIONING HUB","Y58","Q99","C/O NHS ENGLAND, 1W09, 1ST FLOOR","QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20150401","","","H","","","","","","","","0","","","","",""
"14G","SOUTH EAST COMMISSIONING HUB","Y59","Q99","C/O NHS ENGLAND, 1W09, 1ST FLOOR","QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20150401","","","H","","","","","","","","0","","","","",""
"14L","NHS GREATER MANCHESTER ICB - 14L","Y62","QOP","PARKWAY 3","PARKWAY BUSINESS CENTRE","PRINCESS ROAD","MANCHESTER","GREATER MANCHESTER","M14 7LU","20170401","","","C","","","","","","","","0","","","","",""
"14M","LONDON - H&J COMMISSIONING HUB","Y56","Q99","C/O NHS COMMISSIONING BOARD","QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20170401","","","H","","","","","","","","0","","","","",""
"14Q","MIDLANDS - H&J COMMISSIONING HUB","Y60","Q99","C/O NHS ENGLAND","1W09, FIRST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20170401","","","H","","","","","","","","0","","","","",""
"14R","EAST OF ENGLAND - H&J COMMISSIONING HUB","Y61","Q99","C/O NHS ENGLAND","1W09, 1ST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20170401","","","H","","","","","","","","0","","","","",""
"14T","SOUTH WEST - H&J COMMISSIONING HUB","Y58","Q99","C/O NHS ENGLAND","1W09, 1ST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20170401","","","H","","","","","","","","0","","","","",""
"14Y","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 14Y","Y59","QU9","STUDY CENTRE","NEW COUNTY OFFICES","WALTON STREET","AYLESBURY","","HP20 1UA","20180401","","","C","","","","","","","","0","","","","",""
"15A","NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 15A","Y59","QU9","57-59 BATH ROAD","","","READING","","RG30 2BA","20180401","","","C","","","","","","","","0","","","","",""
"15C","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB - 15C","Y58","QUY","SOUTH PLAZA","MARLBOROUGH STREET","","BRISTOL","","BS1 3NX","20180401","","","C","","","","","","","","0","","","","",""
"15E","NHS BIRMINGHAM AND SOLIHULL ICB - 15E","Y60","QHL","FIRST FLOOR","WESLEYAN","COLMORE CIRCUS QUEENSWAY","BIRMINGHAM","","B4 6AR","20180401","","","C","","","","","","","","0","","","","",""
"15F","NHS WEST YORKSHIRE ICB - 15F","Y63","QWO","SUITES 2 - 4 WIRA HOUSE","RING ROAD","WEST PARK","LEEDS","WEST YORKSHIRE","LS16 6EB","20180401","","","C","","","","","","","","0","","","","",""
"15L","NATIONAL COMMISSIONING HUB 2","Y99","Q99","C/O NHS ENGLAND","1W09, IST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","WEST YORKSHIRE","LS2 7UE","20180401","","","H","","","","","","","","0","","","","",""
"15M","NHS DERBY AND DERBYSHIRE ICB - 15M","Y60","QJ2","CARDINAL SQUARE","10 NOTTINGHAM ROAD","","DERBY","DERBYSHIRE","DE1 3QT","20190401","","","C","","","","","","","","0","","","","",""
"15N","NHS DEVON ICB - 15N","Y58","QJK","COUNTY HALL","TOPSHAM ROAD","","EXETER","DEVON","EX2 4QL","20190401","","","C","","","","","","","","0","","","","",""
"16C","NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C","Y63","QHM","NORTH ORMESBY HEALTH VILLAGE","FIRST FLOOR, 14 TRINITY MEWS","NORTH ORMESBY","MIDDLESBROUGH","NORTH YORKSHIRE","TS3 6AL","20200401","","","C","","","","","","","","0","","","","",""
"18C","NHS HEREFORDSHIRE AND WORCESTERSHIRE ICB - 18C","Y60","QGH","KIRKHAM HOUSE","JOHN COMYN DRIVE","","WORCESTER","","WR3 7NS","20200401","","","C","","","","","","","","0","","","","",""
"26A","NHS NORFOLK AND WAVENEY ICB - 26A","Y61","QMM","LAKESIDE 400","OLD CHAPEL WAY","BROADLAND BUSINESS PARK","NORWICH","","NR7 0WG","20200401","","","C","","","","","","","","0","","","","",""
"27D","NHS CHESHIRE AND MERSEYSIDE ICB - 27D","Y62","QYG","BEVAN HOUSE","BARONY COURT","","NANTWICH","CHESHIRE","CW5 5RD","20200401","","","C","","","","","","","","0","","","","",""
"27T","NORTH WEST COMMISSIONING HUB","Y62","Q99","C/O NHS ENGLAND","1W09, 1ST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","","LS2 7UA","20200401","","","H","","","","","","","","0","","","","",""
"32T","NORTH WEST - H&J COMMISSIONING HUB","Y62","Q99","C/O NHS ENGLAND","1W09, 1ST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","","LS2 7UA","20200401","","","H","","","","","","","","0","","","","",""
"36J","NHS WEST YORKSHIRE ICB - 36J","Y63","QWO","SCOREX HOUSE WEST","1 BOLTON ROAD","","BRADFORD","WEST YORKSHIRE","BD1 4AS","20200401","","","C","","","","","","","","0","","","","",""
"36L","NHS SOUTH WEST LONDON ICB - 36L","Y56","QWE","120 THE BROADWAY","","","LONDON","GREATER LONDON","SW19 1RH","20200401","","","C","","","","","","","","0","","","","",""
"42D","NHS HUMBER AND NORTH YORKSHIRE ICB - 42D","Y63","QOQ","1 GRIMBALD CRAG COURT","","","KNARESBOROUGH","","HG5 8QB","20200401","","","C","","","","","","","","0","","","","",""
"52R","NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 52R","Y60","QT1","BIRCH HOUSE","RANSOM WOOD BUSINESS PARK","SOUTHWELL ROAD WEST","MANSFIELD","","NG21 0HJ","20200401","","","C","","","","","","","","0","","","","",""
"70F","NHS SUSSEX ICB - 70F","Y59","QNX","WICKER HOUSE","HIGH STREET","","WORTHING","","BN11 1DJ","20200401","","","C","","","","","","","","0","","","","",""
"71E","NHS LINCOLNSHIRE ICB - 71E","Y60","QJM","BRIDGE HOUSE","THE POINT","LIONS WAY","SLEAFORD","","NG34 8GG","20200401","","","C","","","","","","","","0","","","","",""
"72Q","NHS SOUTH EAST LONDON ICB - 72Q","Y56","QKK","160 TOOLEY STREET","","","LONDON","","SE1 2TZ","20200401","","","C","","","","","","","","0","","","","",""
"76A","NORTH EAST AND YORKSHIRE - H&J COMMISSIONING HUB","Y63","Q99","C/O NHS ENGLAND","1W09, 1ST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","","LS2 7UA","20200401","","","H","","","","","","","","0","","","","",""
"78H","NHS NORTHAMPTONSHIRE ICB - 78H","Y60","QPM","KETTERING PARKWAY","KETTERING VENTURE PARK","","KETTERING","","NN15 6EY","20200401","","","C","","","","","","","","1","","","","",""
"84H","NHS NORTH EAST AND NORTH CUMBRIA ICB - 84H","Y63","QHM","SALTERS LANE","SEDGEFIELD","","STOCKTON-ON-TEES","","TS21 3EE","20200401","","","C","","","","","","","","0","","","","",""
"85J","NORTH EAST AND YORKSHIRE COMMISSIONING HUB","Y63","Q99","C/O NHS ENGLAND","1W09, 1ST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","","LS2 7UA","20200401","","","H","","","","","","","","0","","","","",""
"91Q","NHS KENT AND MEDWAY ICB - 91Q","Y59","QKS","WHARF HOUSE","MEDWAY WHARF ROAD","","TONBRIDGE","","TN9 1RE","20200401","","","C","","","","","","","","0","","","","",""
"92A","NHS SURREY HEARTLANDS ICB - 92A","Y59","QXU","58 CHURCH STREET","","","WEYBRIDGE","","KT13 8DP","20200401","","","C","","","","","","","","0","","","","",""
"92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB - 92G","Y58","QOX","JENNER HOUSE","AVON WAY","LANGLEY PARK","CHIPPENHAM","","SN15 1GG","20200401","","","C","","","","","","","","0","","","","",""
"93C","NHS NORTH CENTRAL LONDON ICB - 93C","Y56","QMJ","2ND FLOOR","LAYCOCK STREET","","LONDON","GREATER LONDON","N1 1TH","20200401","","","C","","","","","","","","0","","","","",""
"97R","NHS SUSSEX ICB - 97R","Y59","QNX","36-38 FRIARS WALK","","","LEWES","","BN7 2PB","20200401","","","C","","","","","","","","0","","","","",""
"97T","SOUTH EAST - H&J COMMISSIONING HUB","Y59","Q99","C/O NHS ENGLAND","1W09, 1ST FLOOR, QUARRY HOUSE","QUARRY HILL","LEEDS","","LS2 7UA","20200401","","","H","","","","","","","","0","","","","",""
"99A","NHS CHESHIRE AND MERSEYSIDE ICB - 99A","Y62","QYG","2 RENSHAW STREET","","","LIVERPOOL","","L1 2SA","20130401","","","C","","","","","","","","0","","","","",""
"99C","NHS NORTH EAST AND NORTH CUMBRIA ICB - 99C","Y63","QHM","12 HEDLEY COURT","ORION BUSINESS PARK","","NORTH SHIELDS","","NE29 7ST","20130401","","","C","","","","","","","","0","","","","",""
"99E","NHS MID AND SOUTH ESSEX ICB - 99E","Y61","QH8","PHOENIX HOUSE","CHRISTOPHER MARTIN ROAD","","BASILDON","","SS14 3HG","20130401","","","C","","","","","","","","0","","","","",""
"99F","NHS MID AND SOUTH ESSEX ICB - 99F","Y61","QH8","PEARL HOUSE","12 CASTLE ROAD","","RAYLEIGH","","SS6 7QF","20130401","","","C","","","","","","","","0","","","","",""
"99G","NHS MID AND SOUTH ESSEX ICB - 99G","Y61","QH8","FLOOR 6","CIVIC CENTRE","VICTORIA AVENUE","SOUTHEND-ON-SEA","ESSEX","SS2 6EN","20130401","","","C","","","","","","","","0","","","","",""
"A3A8R","NHS NORTH EAST LONDON ICB - A3A8R","Y56","QMF","UNEX TOWER","5 STATION STREET","","LONDON","","E15 1DA","20210401","","","C","","","","","","","","0","","","","",""
"B2M3M","NHS COVENTRY AND WARWICKSHIRE ICB - B2M3M","Y60","QWU","WESTGATE HOUSE","MARKET STREET","","WARWICK","","CV34 4DE","20210401","","","C","","","","","","","","0","","","","",""
"D2P2L","NHS BLACK COUNTRY ICB - D2P2L","Y60","QUA","CIVIC CENTRE","ST. PETERS SQUARE","","WOLVERHAMPTON","WEST MIDLANDS","WV1 1SD","20210401","","","C","","","","","","","","0","","","","",""
"D4U1Y","NHS FRIMLEY ICB - D4U1Y","Y59","QNQ","HOSPITAL HILL","","","ALDERSHOT","","GU11 1AY","20210401","","","C","","","","","","","","0","","","","",""
"D9Y0V","NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V","Y59","QRL","THE CASTLE","CASTLE AVENUE","","WINCHESTER","","SO23 8UJ","20210401","","","C","","","","","","","","0","","","","",""
"M1J4Y","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES ICB - M1J4Y","Y61","QHG","PRIORY HOUSE","MONKS WALK","CHICKSANDS","SHEFFORD","","SG17 5TQ","20210401","","","C","","","","","","","","0","","","","",""
"M2L0M","NHS SHROPSHIRE, TELFORD AND WREKIN ICB - M2L0M","Y60","QOC","NHS TELFORD & WREKIN","HALESFIELD 6","","TELFORD","","TF7 4BF","20210401","","","C","","","","","","","","0","","","","",""
"W2U3Z","NHS NORTH WEST LONDON ICB - W2U3Z","Y56","QRV","15 MARYLEBONE ROAD","","","LONDON","","NW1 5JD","20210401","","","C","","","","","","","","0","","","","",""
