"","Code","Name","Postcode","Start","Close","Sector","CCG20CD","CCG20NM","STP20CD","STP20CDH","STP20NM","NHSER20CD","NHSER20CDH","NHSER20NM","STPCDH","latitude","longitude","Successor.Code","Organisation.Name","Latest.Status","Date.Of.Publication","Primary.Sector","Commissioner..From.ODS.","Successor.Status","Final.Status","Short.Status"
"26","02H","NHS WIGAN BOROUGH CCG","WN1 1NJ",2013-04-01,,"CCG","E38000205","NHS Wigan Borough CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Wigan Borough CCG","20/21 Standards Met","25/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"27","02M","NHS FYLDE AND WYRE CCG","FY1 6JX",2013-04-01,,"CCG","E38000226","NHS Fylde and Wyre CCG","E54000048","QE1","Healthier Lancashire and South Cumbria","E40000010","Y62","North West",,,,,"NHS Fylde and Wyre CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"28","02P","NHS BARNSLEY CCG","S75 2PY",2013-04-01,,"CCG","E38000006","NHS Barnsley CCG","E54000009","QF7","South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire",,,,,"NHS Barnsley CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"29","02Q","NHS BASSETLAW CCG","DN22 7XF",2013-04-01,,"CCG","E38000008","NHS Bassetlaw CCG","E54000009","QF7","South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire",,,,,"NHS Bassetlaw CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"30","02T","NHS CALDERDALE CCG","HX3 5AX",2013-04-01,,"CCG","E38000025","NHS Calderdale CCG","E54000054","QWO","West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire",,,,,"NHS Calderdale CCG","20/21 Standards Met","17/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"31","02X","NHS DONCASTER CCG","DN4 5HZ",2013-04-01,,"CCG","E38000044","NHS Doncaster CCG","E54000009","QF7","South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire",,,,,"NHS Doncaster CCG","20/21 Standards Exceeded","24/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"32","02Y","NHS EAST RIDING OF YORKSHIRE CCG","HU10 6DT",2013-04-01,,"CCG","E38000052","NHS East Riding of Yorkshire CCG","E54000051","QOQ","Humber, Coast and Vale","E40000009","Y63","North East and Yorkshire",,,,,"NHS East Riding of Yorkshire CCG","20/21 Standards Met","28/05/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"33","03A","NHS GREATER HUDDERSFIELD CCG","HD2 1GZ",2013-04-01,2021-03-31,"CCG","E38000064","NHS Greater Huddersfield CCG","E54000054","QWO","West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire",,,,"X2C4Y","NHS Greater Huddersfield CCG","20/21 Standards Met","30/07/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Met","Standards Met"
"34","03F","NHS HULL CCG","HU1 1UY",2013-04-01,,"CCG","E38000085","NHS Hull CCG","E54000051","QOQ","Humber, Coast and Vale","E40000009","Y63","North East and Yorkshire",,,,,"NHS Hull CCG","20/21 Standards Met","28/05/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"35","03H","NHS NORTH EAST LINCOLNSHIRE CCG","DN31 1HU",2013-04-01,,"CCG","E38000119","NHS North East Lincolnshire CCG","E54000051","QOQ","Humber, Coast and Vale","E40000009","Y63","North East and Yorkshire",,,,,"NHS North East Lincolnshire CCG","20/21 Standards Met","12/05/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"36","03J","NHS NORTH KIRKLEES CCG","WF12 8DJ",2013-04-01,2021-03-31,"CCG","E38000121","NHS North Kirklees CCG","E54000054","QWO","West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire",,,,"X2C4Y","NHS North Kirklees CCG","20/21 Standards Met","30/07/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Met","Standards Met"
"37","03K","NHS NORTH LINCOLNSHIRE CCG","DN20 8GS",2013-04-01,,"CCG","E38000122","NHS North Lincolnshire CCG","E54000051","QOQ","Humber, Coast and Vale","E40000009","Y63","North East and Yorkshire",,,,,"NHS North Lincolnshire CCG","20/21 Standards Met","28/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"38","03L","NHS ROTHERHAM CCG","S66 1YY",2013-04-01,,"CCG","E38000141","NHS Rotherham CCG","E54000009","QF7","South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire",,,,,"NHS Rotherham CCG","20/21 Standards Met","02/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"39","03N","NHS SHEFFIELD CCG","S9 4EU",2013-04-01,,"CCG","E38000146","NHS Sheffield CCG","E54000009","QF7","South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire",,,,,"NHS Sheffield CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"40","03Q","NHS VALE OF YORK CCG","YO1 6GA",2013-04-01,,"CCG","E38000188","NHS Vale of York CCG","E54000051","QOQ","Humber, Coast and Vale","E40000009","Y63","North East and Yorkshire",,,,,"NHS Vale of York CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"41","03R","NHS WAKEFIELD CCG","WF1 1LT",2013-04-01,,"CCG","E38000190","NHS Wakefield CCG","E54000054","QWO","West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire",,,,,"NHS Wakefield CCG","20/21 Standards Met","16/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"42","03W","NHS EAST LEICESTERSHIRE AND RUTLAND CCG","LE3 8TB",2013-04-01,,"CCG","E38000051","NHS East Leicestershire and Rutland CCG","E54000015","QK1","Leicester, Leicestershire and Rutland","E40000008","Y60","Midlands",,,,,"NHS East Leicestershire and Rutland CCG","20/21 Standards Met","04/05/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"43","04C","NHS LEICESTER CITY CCG","LE1 6NB",2013-04-01,,"CCG","E38000097","NHS Leicester City CCG","E54000015","QK1","Leicester, Leicestershire and Rutland","E40000008","Y60","Midlands",,,,,"NHS Leicester City CCG","20/21 Standards Met","04/05/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"44","04F","NHS MILTON KEYNES CCG","MK3 6RT",2013-04-01,2021-03-31,"CCG","E38000107","NHS Milton Keynes CCG","E54000024","QHG","Bedfordshire, Luton and Milton Keynes","E40000007","Y61","East of England",,,,"M1J4Y","NHS Milton Keynes CCG (CLOSED)","20/21 Standards Met","29/03/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Met","Standards Met"
"45","04V","NHS WEST LEICESTERSHIRE CCG","LE11 2TZ",2013-04-01,,"CCG","E38000201","NHS West Leicestershire CCG","E54000015","QK1","Leicester, Leicestershire and Rutland","E40000008","Y60","Midlands",,,,,"NHS West Leicestershire CCG","20/21 Standards Met","04/05/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"46","04Y","NHS CANNOCK CHASE CCG","WS11 1JP",2013-04-01,,"CCG","E38000028","NHS Cannock Chase CCG","E54000010","QNC","Staffordshire and Stoke on Trent","E40000008","Y60","Midlands",,,,,"NHS Cannock Chase CCG","20/21 Standards Met","08/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"47","05A","NHS COVENTRY AND RUGBY CCG","CV1 2NJ",2013-04-01,2021-03-31,"CCG","E38000038","NHS Coventry and Rugby CCG","E54000018","QWU","Coventry and Warwickshire","E40000008","Y60","Midlands",,,,"B2M3M",,,,,,"Not Published","Not Published","Not Published"
"48","05C","NHS DUDLEY CCG","DY5 1RU",2013-04-01,2021-03-31,"CCG","E38000046","NHS Dudley CCG","E54000016","QUA","The Black Country and West Birmingham","E40000008","Y60","Midlands",,,,"D2P2L","NHS Dudley CCG","19/20 Standards Met","31/03/2020","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"49","05D","NHS EAST STAFFORDSHIRE CCG","DE14 2WF",2013-04-01,,"CCG","E38000053","NHS East Staffordshire CCG","E54000010","QNC","Staffordshire and Stoke on Trent","E40000008","Y60","Midlands",,,,,"NHS East Staffordshire CCG","20/21 Standards Met","08/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"50","05G","NHS NORTH STAFFORDSHIRE CCG","ST5 1QG",2013-04-01,,"CCG","E38000126","NHS North Staffordshire CCG","E54000010","QNC","Staffordshire and Stoke on Trent","E40000008","Y60","Midlands",,,,,"NHS North Staffordshire CCG","20/21 Standards Met","08/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"51","05H","NHS WARWICKSHIRE NORTH CCG","CV34 4DE",2013-04-01,2021-03-31,"CCG","E38000195","NHS Warwickshire North CCG","E54000018","QWU","Coventry and Warwickshire","E40000008","Y60","Midlands",,,,"B2M3M","NHS Warwickshire North CCG","20/21 Standards Met","26/03/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Met","Standards Met"
"52","05L","NHS SANDWELL AND WEST BIRMINGHAM CCG","B70 9LD",2013-04-01,2021-03-31,"CCG","E38000144","NHS Sandwell and West Birmingham CCG","E54000016","QUA","The Black Country and West Birmingham","E40000008","Y60","Midlands",,,,"D2P2L","NHS Sandwell and West Birmingham CCG","19/20 Standards Met","02/11/2020","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"53","05N","NHS SHROPSHIRE CCG","SY3 8XL",2013-04-01,2021-03-31,"CCG","E38000147","NHS Shropshire CCG","E54000011","QOC","Shropshire and Telford and Wrekin","E40000008","Y60","Midlands",,,,"M2L0M","NHS Shropshire CCG","19/20 Standards Met","31/03/2020","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"54","05Q","NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG","B78 3HF",2013-04-01,,"CCG","E38000153","NHS South East Staffordshire and Seisdon Peninsula CCG","E54000010","QNC","Staffordshire and Stoke on Trent","E40000008","Y60","Midlands",,,,,"NHS South East Staffordshire and Seisdon Peninsula CCG","20/21 Standards Met","08/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"55","05R","NHS SOUTH WARWICKSHIRE CCG","CV34 4DE",2013-04-01,2021-03-31,"CCG","E38000164","NHS South Warwickshire CCG","E54000018","QWU","Coventry and Warwickshire","E40000008","Y60","Midlands",,,,"B2M3M","NHS South Warwickshire CCG","20/21 Standards Met","26/03/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Met","Standards Met"
"56","05V","NHS STAFFORD AND SURROUNDS CCG","ST16 2LP",2013-04-01,,"CCG","E38000173","NHS Stafford and Surrounds CCG","E54000010","QNC","Staffordshire and Stoke on Trent","E40000008","Y60","Midlands",,,,,"NHS Stafford and Surrounds CCG","20/21 Standards Met","08/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"57","05W","NHS STOKE ON TRENT CCG","ST4 7PZ",2013-04-01,,"CCG","E38000175","NHS Stoke on Trent CCG","E54000010","QNC","Staffordshire and Stoke on Trent","E40000008","Y60","Midlands",,,,,"NHS Stoke on Trent CCG","20/21 Standards Met","08/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"58","05X","NHS TELFORD AND WREKIN CCG","TF7 4BF",2013-04-01,2021-03-31,"CCG","E38000183","NHS Telford and Wrekin CCG","E54000011","QOC","Shropshire and Telford and Wrekin","E40000008","Y60","Midlands",,,,"M2L0M","NHS Telford and Wrekin CCG","19/20 Standards Met","31/03/2020","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"59","05Y","NHS WALSALL CCG","WS2 7JL",2013-04-01,2021-03-31,"CCG","E38000191","NHS Walsall CCG","E54000016","QUA","The Black Country and West Birmingham","E40000008","Y60","Midlands",,,,"D2P2L","NHS Walsall CCG","19/20 Standards Met","01/04/2020","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"60","06A","NHS WOLVERHAMPTON CCG","WV10 9RU",2013-04-01,2021-03-31,"CCG","E38000210","NHS Wolverhampton CCG","E54000016","QUA","The Black Country and West Birmingham","E40000008","Y60","Midlands",,,,"D2P2L","NHS Wolverhampton CCG","19/20 Approaching Standards","01/04/2020","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"61","06F","NHS BEDFORDSHIRE CCG","MK45 4HR",2013-04-01,2021-03-31,"CCG","E38000010","NHS Bedfordshire CCG","E54000024","QHG","Bedfordshire, Luton and Milton Keynes","E40000007","Y61","East of England",,,,"M1J4Y",,,,,,"Not Published","Not Published","Not Published"
"62","06H","NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG","CB7 4EA",2013-04-01,,"CCG","E38000026","NHS Cambridgeshire and Peterborough CCG","E54000021","QUE","Cambridgeshire and Peterborough","E40000007","Y61","East of England",,,,,"NHS Cambridgeshire and Peterborough CCG","20/21 Standards Met","24/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"63","06K","NHS EAST AND NORTH HERTFORDSHIRE CCG","AL8 6JL",2013-04-01,,"CCG","E38000049","NHS East and North Hertfordshire CCG","E54000025","QM7","Hertfordshire and West Essex","E40000007","Y61","East of England",,,,,"NHS East and North Hertfordshire CCG","20/21 Standards Met","17/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"64","06L","NHS IPSWICH AND EAST SUFFOLK CCG","IP1 2BX",2013-04-01,,"CCG","E38000086","NHS Ipswich and East Suffolk CCG","E54000023","QJG","Suffolk and North East Essex","E40000007","Y61","East of England",,,,,"NHS Ipswich and East Suffolk CCG","20/21 Standards Met","05/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"65","06N","NHS HERTS VALLEYS CCG","HP1 1DN",2013-04-01,,"CCG","E38000079","NHS Herts Valleys CCG","E54000025","QM7","Hertfordshire and West Essex","E40000007","Y61","East of England",,,,,"NHS Herts Valleys CCG","20/21 Standards Met","01/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"66","06P","NHS LUTON CCG","LU1 2LJ",2013-04-01,2021-03-31,"CCG","E38000102","NHS Luton CCG","E54000024","QHG","Bedfordshire, Luton and Milton Keynes","E40000007","Y61","East of England",,,,"M1J4Y","NHS Luton CCG (CLOSED)","20/21 Standards Met","29/03/2021","CCG / Integrated Care Board (ICB)","","Not Published","20/21 Standards Met","Standards Met"
"67","06Q","NHS MID ESSEX CCG","CM2 5PF",2013-04-01,,"CCG","E38000106","NHS Mid Essex CCG","E54000026","QH8","Mid and South Essex","E40000007","Y61","East of England",,,,,"NHS Mid Essex CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"68","06T","NHS NORTH EAST ESSEX CCG","CO4 9QR",2013-04-01,,"CCG","E38000117","NHS North East Essex CCG","E54000023","QJG","Suffolk and North East Essex","E40000007","Y61","East of England",,,,,"NHS North East Essex CCG","20/21 Standards Met","05/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"69","07G","NHS THURROCK CCG","RM17 6SL",2013-04-01,,"CCG","E38000185","NHS Thurrock CCG","E54000026","QH8","Mid and South Essex","E40000007","Y61","East of England",,,,,"NHS Thurrock CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"70","07H","NHS WEST ESSEX CCG","CM16 6TN",2013-04-01,,"CCG","E38000197","NHS West Essex CCG","E54000025","QM7","Hertfordshire and West Essex","E40000007","Y61","East of England",,,,,"NHS West Essex CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"71","07K","NHS WEST SUFFOLK CCG","IP33 3YU",2013-04-01,,"CCG","E38000204","NHS West Suffolk CCG","E54000023","QJG","Suffolk and North East Essex","E40000007","Y61","East of England",,,,,"NHS West Suffolk CCG","20/21 Standards Met","05/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"72","07L","NHS BARKING AND DAGENHAM CCG","RM1 3AE",2013-04-01,2021-03-31,"CCG","E38000004","NHS Barking and Dagenham CCG","E54000029","QMF","East London Health and Care Partnership","E40000003","Y56","London",,,,"A3A8R","NHS Barking and Dagenham CCG","19/20 Standards Exceeded","31/03/2020","CCG / Integrated Care Board (ICB)","","20/21 Approaching Standards","20/21 Approaching Standards","Approaching Standards"
"73","07P","NHS BRENT CCG","HA0 4UZ",2013-04-01,2021-03-31,"CCG","E38000020","NHS Brent CCG","E54000027","QRV","North West London Health and Care Partnership","E40000003","Y56","London",,,,"W2U3Z","NHS Brent CCG","19/20 Approaching Standards","14/10/2020","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"74","07T","NHS CITY AND HACKNEY CCG","N1 5LZ",2013-04-01,2021-03-31,"CCG","E38000035","NHS City and Hackney CCG","E54000029","QMF","East London Health and Care Partnership","E40000003","Y56","London",,,,"A3A8R",,,,,,"20/21 Approaching Standards","20/21 Approaching Standards","Approaching Standards"
"75","07W","NHS EALING CCG","W5 2HL",2013-04-01,2021-03-31,"CCG","E38000048","NHS Ealing CCG","E54000027","QRV","North West London Health and Care Partnership","E40000003","Y56","London",,,,"W2U3Z","NHS Ealing CCG","20/21 Standards Met","06/03/2021","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
"76","07Y","NHS HOUNSLOW CCG","TW3 3EB",2013-04-01,2021-03-31,"CCG","E38000084","NHS Hounslow CCG","E54000027","QRV","North West London Health and Care Partnership","E40000003","Y56","London",,,,"W2U3Z","NHS Hounslow CCG","20/21 Standards Met","06/03/2021","CCG / Integrated Care Board (ICB)","","20/21 Standards Met","20/21 Standards Met","Standards Met"
