"","Code","Name","Start","Close","Prac_Status","Prescribing_Setting","validedition","open_at"
"92","A82025","CAPTAIN FRENCH SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"93","A82026","THE JAMES COCHRANE PRACT.",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"94","A82027","STATION HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"95","A82028","CASTLEHEAD MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"96","A82029","THE CROFT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"97","A82030","LUNESDALE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"98","A82031","SHAP MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"99","A82032","MARYPORT HEALTH SERVICES",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"100","A82033","WATERLOO HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"101","A82034","STONELEIGH SURGERY",1974-04-01,2021-08-31,"C",4,"18/19","2019-03-31"
"102","A82035","BIRBECK MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"103","A82036","THE LAKES MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"104","A82037","SILLOTH GROUP MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"105","A82038","TEMPLE SOWERBY MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"106","A82039","DALTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"107","A82041","LOWTHER MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"108","A82044","FELLVIEW HEALTHCARE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"109","A82045","WIGTON GROUP MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"110","A82046","WINDERMERE HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"111","A82047","JAMES STREET GROUP PRACT",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"112","A82048","BEECHWOOD GROUP PRACTICE",1974-04-01,NA,"D",4,"18/19","2019-03-31"
"113","A82049","ORCHARD HOUSE SURGERY",1974-04-01,NA,"D",4,"18/19","2019-03-31"
"114","A82050","OXFORD STREET SURGERY",1974-04-01,NA,"D",4,"18/19","2019-03-31"
"115","A82053","NUTWOOD MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"116","A82055","ASPATRIA MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"117","A82058","QUEEN STREET MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"118","A82060","WHITEHAVEN MEDICAL CENTRE",1974-04-01,2019-11-30,"C",4,"18/19","2019-03-31"
"119","A82062","ATKINSON HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"120","A82064","WESTCROFT HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"121","A82065","PENINSULA MEDICAL PRACTICE",1974-04-01,NA,"D",4,"18/19","2019-03-31"
"122","A82068","ULVERSTON COMMUNITY HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"123","A82070","ST. MARY'S SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"124","A82071","BURNETT EDGAR MEDICAL CTR",1985-08-12,NA,"A",4,"18/19","2019-03-31"
"125","A82072","RISEDALE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"126","A82074","ARNSIDE SURGERY",1974-04-01,2019-07-31,"C",4,"18/19","2019-03-31"
"127","A82075","MANSION HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"128","A82077","LIVERPOOL HOUSE SURGERY",1994-04-01,NA,"A",4,"18/19","2019-03-31"
"129","A82608","SEDBERGH MEDICAL PRACTICE",1987-04-01,NA,"A",4,"18/19","2019-03-31"
"130","A82613","WRAYSDALE HOUSE SURGERY",1987-04-13,NA,"A",4,"18/19","2019-03-31"
"131","A82617","KIRKOSWALD SURGERY",1985-07-01,NA,"A",4,"18/19","2019-03-31"
"132","A82620","GLENRIDDING HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"133","A82621","ASKAM SURGERY",1974-04-01,2021-08-31,"C",4,"18/19","2019-03-31"
"134","A82623","SOLWAY HEALTH SERVICES",1974-04-01,NA,"D",4,"18/19","2019-03-31"
"135","A82629","THE FAMILY PRACTICE",1985-11-01,NA,"A",4,"18/19","2019-03-31"
"136","A82631","COURT THORN SURGERY",1986-10-01,NA,"A",4,"18/19","2019-03-31"
"137","A82646","LONGTOWN MEDICAL CENTRE",1990-02-26,NA,"A",4,"18/19","2019-03-31"
"138","A82647","CARTMEL SURGERY",1990-10-08,NA,"A",4,"18/19","2019-03-31"
"139","A82650","HAVERTHWAITE SURGERY",1991-09-16,NA,"A",4,"18/19","2019-03-31"
"140","A82651","DUDDON VALLEY MEDICAL PRACTICE",1993-04-01,NA,"A",4,"18/19","2019-03-31"
"141","A82654","WARWICK SQUARE GROUP PRACTICE",2001-01-01,NA,"A",4,"18/19","2019-03-31"
"142","A83001","ST ANDREW'S MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"143","A83003","WILLINGTON MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"144","A83004","AVENUE FAMILY PRACTICE",1974-04-01,2020-11-30,"C",4,"18/19","2019-03-31"
"145","A83005","WHINFIELD MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"146","A83006","ORCHARD COURT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"147","A83007","BLACKHALL AND PETERLEE PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"148","A83008","HALLGARTH SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"149","A83009","BRIDGE END SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"150","A83010","MOORLANDS SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"151","A83011","CLAYPATH & UNIVERSITY MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"152","A83012","WILLIAM BROWN CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"153","A83013","NEASHAM ROAD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"154","A83014","BELMONT & SHERBURN MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"155","A83015","STATION VIEW MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"156","A83016","TANFIELD VIEW MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"157","A83017","PHOENIX MEDICAL GROUP",1974-04-01,2020-06-30,"C",4,"18/19","2019-03-31"
"158","A83018","CONSETT MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"159","A83019","STATION ROAD SURGERY",1974-04-01,2020-06-30,"C",4,"18/19","2019-03-31"
"160","A83020","NORTH HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"161","A83021","AUCKLAND MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"162","A83022","THE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"163","A83023","STANLEY MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"164","A83024","WEST RAINTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"165","A83025","BISHOPGATE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"166","A83026","SACRISTON MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"167","A83027","COXHOE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"168","A83028","MIDDLE CHARE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"169","A83029","GREAT LUMLEY SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"170","A83030","DUNELM MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"171","A83031","CARMEL MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"172","A83032","WOODVIEW MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"173","A83033","PELTON & FELLROSE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"174","A83034","BLACKETTS MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"175","A83035","THE WEARDALE PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"176","A83036","CHASTLETON MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"177","A83037","BEWICK CRESCENT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"178","A83038","CEDARS MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"179","A83040","CLIFTON COURT MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"180","A83041","MURTON MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"181","A83042","DR SIMPSON & PARTNERS",1974-04-01,2019-11-30,"C",4,"18/19","2019-03-31"
"182","A83043","OLD FORGE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"183","A83044","THE HORDEN GROUP PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"184","A83045","FERRYHILL AND CHILTON MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"185","A83046","BARNARD CASTLE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"186","A83047","DENMARK STREET SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"187","A83048","ROCKLIFFE COURT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"188","A83049","QUEENS ROAD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"189","A83050","CESTRIA HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"190","A83051","MARLBOROUGH SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"191","A83052","BISHOPS CLOSE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"192","A83054","SKERNE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"193","A83055","CHEVELEY PARK MEDICAL CTR",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"194","A83057","EAST DURHAM MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"195","A83060","PINFOLD MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"196","A83061","GAINFORD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"197","A83066","JUBILEE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"198","A83070","ST GEORGE'S MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"199","A83071","THE NEW SEAHAM MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"200","A83072","LANCHESTER MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"201","A83073","DRS LAMBERT & NG",1988-10-01,NA,"A",4,"18/19","2019-03-31"
"202","A83074","PEASE WAY MEDICAL CENTRE",1992-11-01,NA,"A",4,"18/19","2019-03-31"
"203","A83075","BYRON MEDICAL PRACTICE",1992-12-01,NA,"A",4,"18/19","2019-03-31"
"204","A83076","DIPTON SURGERY",1993-05-01,2019-11-30,"C",4,"18/19","2019-03-31"
"205","A83603","OXFORD ROAD MEDICAL PRACTICE",1974-04-01,2021-06-30,"C",4,"18/19","2019-03-31"
"206","A83610","WINGATE MEDICAL PRACTICE INTRAHEALTH",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"207","A83616","BEVAN MEDICAL GROUP",1985-06-18,NA,"A",4,"18/19","2019-03-31"
"208","A83617","BROWNEY HOUSE SURGERY",1984-12-31,NA,"A",4,"18/19","2019-03-31"
"209","A83618","OAKFIELDS HEALTH GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"210","A83619","SOUTHDENE MEDICAL CENTRE",1985-02-01,NA,"A",4,"18/19","2019-03-31"
"211","A83622","THE HAVEN SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"212","A83626","EVENWOOD MEDICAL PRACTICE",1985-04-01,NA,"A",4,"18/19","2019-03-31"
"213","A83627","SILVERDALE FAMILY PRACTICE",1988-03-01,NA,"A",4,"18/19","2019-03-31"
"214","A83630","DENHOLM HOUSE",1990-02-01,NA,"D",4,"18/19","2019-03-31"
"215","A83632","CRAGHEAD MEDICAL CENTRE",1992-04-13,NA,"D",4,"18/19","2019-03-31"
"216","A83634","WEST CORNFORTH MEDICAL CENTRE",1995-04-01,NA,"A",4,"18/19","2019-03-31"
"217","A83635","BOWBURN MEDICAL CENTRE",1995-04-01,NA,"A",4,"18/19","2019-03-31"
"218","A83636","LEADGATE SURGERY",1995-08-01,NA,"A",4,"18/19","2019-03-31"
"219","A83637","VILLAGES MEDICAL GROUP",1997-11-01,NA,"A",4,"18/19","2019-03-31"
"220","A83641","PARKGATE SURGERY",2000-10-01,NA,"A",4,"18/19","2019-03-31"
"221","A83644","ANNFIELD PLAIN SURGERY",2001-11-16,NA,"A",4,"18/19","2019-03-31"
"222","A84002","THE ROTHBURY PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"223","A84003","LINTONVILLE MEDICAL GROUP",1974-04-01,NA,"D",4,"18/19","2019-03-31"
"224","A84005","BEDLINGTONSHIRE MED.GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"225","A84006","ALNWICK MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"226","A84007","PONTELAND MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"227","A84008","BELFORD MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"228","A84009","RAILWAY MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"229","A84011","WHITE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"230","A84013","THE GABLES MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"231","A84014","MARINE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"232","A84015","LABURNUM SURGERY",1974-04-01,2021-08-31,"C",4,"18/19","2019-03-31"
"233","A84016","PRUDHOE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"234","A84018","CORBRIDGE HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"235","A84020","GUIDEPOST MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"236","A84022","COQUET MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"237","A84024","BURN BRAE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"238","A84025","CRAMLINGTON MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"239","A84026","WELL CLOSE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"240","A84027","BELLINGHAM PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"241","A84028","SEATON PARK MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"242","A84029","WIDDRINGTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"243","A84030","VILLAGE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"244","A84031","GREYSTOKE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"245","A84032","CHEVIOT MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"246","A84033","THE SELE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"247","A84034","HALTWHISTLE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"248","A84035","RIVERSDALE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"249","A84036","VALENS MEDICAL PARTNERSHIP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"250","A84037","NETHERFIELD HOUSE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"251","A84038","FORUM FAMILY PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"252","A84039","GAS HOUSE LANE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"253","A84040","HUMSHAUGH & WARK MED GRP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"254","A84042","SCOTS GAP MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"255","A84043","BROCKWELL MEDICAL GROUP",1974-04-01,NA,"D",4,"18/19","2019-03-31"
"256","A84044","UNION BRAE & NORHAM PRAC",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"257","A84045","HAYDON BRIDGE & ALLENDALE MEDICAL PRACT",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"258","A84047","BRANCH END SURGERY",1990-07-01,NA,"A",4,"18/19","2019-03-31"
"259","A84604","THE GLENDALE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"260","A84609","FELTON SURGERY",1985-03-12,NA,"A",4,"18/19","2019-03-31"
"261","A84614","THE ADDERLANE SURGERY",1991-04-01,NA,"A",4,"18/19","2019-03-31"
"262","A84619","ELSDON AVENUE SURGERY",2000-09-01,NA,"A",4,"18/19","2019-03-31"
"263","A85001","FELL TOWER MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"264","A85002","BENSHAM FAMILY PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"265","A85003","ROWLANDS GILL MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
