,Code,National Grouping,High Level Health Geography,lat,long,Organisation Name,Status,Date Of Publication,Primary Sector,"Integrated Care Board (where available, from ODS)"
72,RJN,Y62,QYG,53.26247105,-2.1404771,EAST CHESHIRE NHS TRUST,22/23 Standards Met,28/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
73,RJR,Y62,QYG,53.20984215,-2.8994141,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
74,RJZ,Y56,QKK,51.468693075,-0.093666925,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,04/07/2023,NHS Trust,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
75,RK5,Y60,QT1,53.1357303,-1.2358982,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
76,RK9,Y58,QJK,50.4160585,-4.114495,University Hospitals Plymouth NHS Trust,22/23 Approaching Standards,20/06/2023,NHS Trust,NHS DEVON INTEGRATED CARE BOARD
77,RKB,Y60,QWU,52.4217835,-1.4365906,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,22/23 Standards Met,28/06/2023,NHS Trust,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
78,RKE,Y56,QMJ,51.5665599,-0.1393414,WHITTINGTON HEALTH NHS TRUST,22/23 Approaching Standards,18/07/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
79,RKL,Y56,QRV,51.5066106,-0.3628311,WEST LONDON NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
80,RL1,Y60,QOC,52.88421,-3.03269,The Robert Jones & Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,22/23 Standards Met,29/06/2023,NHS Trust,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
81,RL4,Y60,QUA,52.59972,-2.09556,THE ROYAL WOLVERHAMPTON NHS TRUST,22/23 Standards Met,28/06/2023,NHS Trust,NHS BLACK COUNTRY INTEGRATED CARE BOARD
82,RLQ,Y60,QGH,52.05701,-2.70571,WYE VALLEY NHS TRUST (RLQ),22/23 Approaching Standards,16/06/2023,NHS Trust,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
83,RLT,Y60,QWU,52.51258,-1.47844,GEORGE ELIOT HOSPITAL NHS TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
84,RLY,Y60,QNC,52.9699,-2.16722,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,22/23 Standards Met,27/06/2023,NHS Trust,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
85,RM1,Y61,QMM,52.6172528,1.22130875,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
86,RM3,Y62,QOP,53.4874685,-2.3243642,Northern Care Alliance NHS Foundation Trust,22/23 Standards Met,30/06/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
87,RMC,Y62,QOP,53.5522814,-2.42954,BOLTON NHS FOUNDATION TRUST,22/23 Standards Met,23/06/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
88,RMP,Y62,QOP,53.49153,-2.07143,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
89,RMY,Y61,QMM,52.6596812,1.2513472,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,22/23 Standards Met,19/06/2023,NHS Trust,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
90,RN3,Y58,QOX,51.5384852,-1.7263778,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
91,RN5,Y59,QRL,51.2818737,-1.110541875,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
92,RN7,Y59,QKS,51.4349928,0.2602607,DARTFORD AND GRAVESHAM NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
93,RNA,Y60,QUA,52.5024733,-2.12124055,THE DUDLEY GROUP NHS FOUNDATION TRUST,22/23 Standards Met,27/06/2023,NHS Trust,NHS BLACK COUNTRY INTEGRATED CARE BOARD
94,RNK,Y56,QMJ,51.5469,-0.17544,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
95,RNN,Y63,QHM,54.896737,-2.9583574,North Cumbria Integrated Care NHS Foundation Trust,22/23 Standards Met,28/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
96,RNQ,Y60,QPM,52.40246875,-0.7427838,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
97,RNS,Y60,QPM,52.2362387,-0.8839991,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
98,RNU,Y59,QU9,51.7508399,-1.22232,OXFORD HEALTH NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
99,RNZ,Y58,QOX,51.04395,-1.78982,SALISBURY NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
100,RP1,Y60,QPM,52.3937272,-0.7206623,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,22/23 Standards Met,28/06/2023,NHS Trust,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD
101,RP4,Y56,QMJ,51.5222431,-0.12045525,Great Ormond Street Hospital for Children NHS Foundation Trust,22/23 Standards Met,28/06/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
102,RP5,Y63,QF7,53.53078,-1.10894,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
103,RP6,Y56,QMJ,51.5272967,-0.0901355,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
104,RP7,Y60,QJM,53.24403,-0.55691,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,22/23 Standards Met,06/06/2023,NHS Trust,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
105,RPA,Y59,QKS,51.3798003,0.5416386,MEDWAY NHS FOUNDATION TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
106,RPC,Y59,QNX,51.13552387222222,-0.001661988888888889,THE QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,09/06/2023,NHS Trust,NHS SUSSEX INTEGRATED CARE BOARD
107,RPG,Y59,QKS,51.43479,0.17474,OXLEAS NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
108,RPY,Y56,QRV,51.49056,-0.17257,THE ROYAL MARSDEN NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
109,RQ3,Y60,QHL,52.4849032,-1.89424115,Birmingham Women?s and Children?s NHS Foundation Trust,22/23 Standards Met,29/06/2023,NHS Trust,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
111,RQM,Y56,QRV,51.4842839,-0.181603,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
112,RQW,Y61,QM7,51.77153,0.08546,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,22/23 Standards Met,27/06/2023,NHS Trust,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
113,RQX,Y56,QMF,51.55005385,-0.0459811,Homerton Healthcare NHS Foundation Trust,22/23 Approaching Standards,03/07/2023,NHS Trust,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
114,RQY,Y56,QWE,51.43736,-0.17237,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,22/23 Standards Met,20/06/2023,NHS Trust,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
115,RR7,Y63,QHM,54.93784345,-1.58111405,GATESHEAD HEALTH NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
116,RR8,Y63,QWO,53.8069351,-1.521480325,THE LEEDS TEACHING HOSPITALS NHS TRUST,22/23 Standards Met,21/06/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
117,RRE,Y60,QNC,52.81063,-2.10927,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST (RRE),22/23 Standards Met,30/06/2023,NHS Trust,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
118,RRF,Y62,QOP,53.5578171,-2.6296517,"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",22/23 Standards Met,22/06/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
119,RRJ,Y60,QHL,52.4211275,-1.9607413,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
120,RRK,Y60,QHL,52.4532961,-1.9384003,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,22/23 Approaching Standards,20/07/2023,NHS Trust,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
